BOE_Prodoction_2 year cum,BOE_Production_6mon cum,TOC,Permeability...d.,Brittleness,Porosity,Thickness,Vclay,TVD,Surf.Lat,Surf.Lon,Lateral..ft.,GPI (gross perforated interval ft),Proppant.per.GPI..lb.ft.,Fluid.per.GPI..gal.ft.,Total.Proppant.Volume,Total.Fluid,API.Gravity,Fluid.Type
57981.5,44661,3.95,0.52,27.5,0.085,159,0.23,6703,28.17254,-99.95203,8279,8028,2103.63727,1320.310289,16888000,10599451,53,XLINK
252045.5,101298.5,3.18,0.31,28.4,0.071,134,0.27,10396,29.08519,-97.80151,5608,5433,2489.96871,2023.49862,13528000,10993668,41,SLKW
189940.5,77728,3.04,0.28,29,0.068,131,0.27,10357,29.08933,-97.79606,5649,5451,2383.782792,1938.102367,12994000,10564596,41,SLKW
254461,108609.5,3.04,0.28,29,0.068,131,0.27,10372,29.08941,-97.796,5674,5448,2551.0279,1967.084985,13898000,10716679,41,SLKW
171783.5,95791,2.34,0.13,30.6,0.053,128,0.28,10316,28.57646,-98.48959,5612,5374,1321.176033,1814.574619,7100000,9751524,41,GEL
89111,48714,3.9,0.56,28.1,0.087,142,0.21,11035,28.68176,-98.26655,4875,4666,855.550793,666.9164166,3992000,3111832,46,XLINK
171066.5,82721.5,3.52,0.42,28.7,0.079,150,0.21,11081,28.49981,-98.49394,7605,7264,1167.951542,1105.16217,8484000,8027898,47,XLINK
135455.5,67423.5,3.52,0.51,27.9,0.077,114,0.24,8685,28.53615,-99.03737,5518,5263,1432.262968,1342.284249,7538000,7064442,40,XLINK
202128,113642.5,3.53,0.52,30,0.077,104,0.21,7852,28.25791,-99.61633,6249,5951,1647.790287,1180.147706,9806000,7023059,49,XLINK
127377.5,59333,2.63,0.23,30.2,0.061,96,0.26,7720,28.76911,-98.82051,9198,8747,1563.507488,1205.915057,13676000,10548139,27,XLINK
328855.5,163916,3.78,0.46,23.5,0.082,157,0.27,12607,29.14592,-97.51239,5761,5462,1922.738923,1384.382094,10502000,7561495,52,XLINK
194168,86899.5,3.52,0.42,28.7,0.079,150,0.21,11083,28.49981,-98.4939,7609,7192,1224.972191,1084.87792,8810000,7802442,42,XLINK
124379,69772.5,3.46,0.48,28.2,0.076,129,0.25,7157,28.41548,-99.58002,8393,7921,1644.489332,1246.87287,13026000,9876480,45,XLINK
222455.5,125957,3.34,0.37,29.2,0.074,130,0.23,9771,28.45341,-98.82314,6734,6355,2196.380803,1833.969158,13958000,11654874,41,SLKW
189527,107329.5,3.46,0.45,28.9,0.077,125,0.22,9919,28.42216,-98.84128,7735,7286,2337.359319,2181.106231,17030000,15891540,43,SLKW
139434,77221,3.52,0.51,27.9,0.077,114,0.24,8683,28.53612,-99.0374,5487,5164,1545.701007,1475.254067,7982000,7618212,41,XLINK
313030.5,154575,3.22,0.34,29.9,0.072,134,0.23,10021,28.44489,-98.7933,8745,8230,2198.54192,2143.546294,18094000,17641386,42,SLKW
164534.5,76007.5,2.79,0.22,28.9,0.063,106,0.27,8209,28.6953,-98.89451,10498,9864,1423.560422,1535.497161,14042000,15146144,34,XLINK
143043.5,68762.5,3.52,0.51,27.9,0.077,114,0.24,8680,28.53609,-99.03744,5268,4948,1484.640259,1367.478577,7346000,6766284,40,XLINK
141202.5,101974.5,3.42,0.42,29.5,0.078,137,0.21,11800,28.783,-98.01719,3629,3397,814.2478658,721.2770091,2766000,2450178,51,GEL
217597.5,110752.5,3.48,0.48,28.9,0.078,155,0.22,12336,28.7814,-97.96853,4482,4195,1106.078665,857.9370679,4640000,3599046,56,XLINK
112962,78631.5,3.42,0.42,29.5,0.077,137,0.21,11809,28.78312,-98.01684,3494,3270,828.7461774,696.4816514,2710000,2277495,52,GEL
59443.5,19461.5,3.9,0.53,27.8,0.084,150,0.23,6893,28.15773,-99.93036,8649,8088,2084.569733,1249.933358,16860000,10109461,51,XLINK
198207,124768,3.29,0.37,29.6,0.073,143,0.22,10387,28.42327,-98.76427,7710,7209,2446.663892,2359.80025,17638000,17011800,46,SLKW
92239.5,44728,2.79,0.24,28.5,0.063,102,0.29,6618,28.73031,-99.26798,7289,6814,2176.69504,1424.23393,14832000,9704730,33,XLINK
166444.5,96410.5,3.9,0.53,27.8,0.084,150,0.23,6894,28.15769,-99.9304,8653,8089,2054.889356,1262.116825,16622000,10209263,52,XLINK
109805.5,31940.5,3.75,0.52,27,0.083,140,0.23,6741,28.42343,-99.64448,7786,7268,1676.664832,1450.23858,12186000,10540334,45,XLINK
176507.5,96848.5,3.46,0.45,28.9,0.077,125,0.22,9921,28.42226,-98.84128,7661,7147,2299.426333,2238.611166,16434000,15999354,95,SLKW
158531.5,78265,2.34,0.13,30.6,0.053,128,0.28,10309,28.57646,-98.48935,5686,5299,1337.9883,1800.909228,7090000,9543018,40,GEL
208270.5,115300,3.46,0.45,28.9,0.077,125,0.22,9919,28.42235,-98.84128,7768,7232,2272.400442,2099.448285,16434000,15183210,43,SLKW
